Question 1£º
i   j  W_ij
=========================
2 0 2808.5789845550044
2 1 1248.919918392838
2 3 -52.0363753702172
3 0 2860.6153599252216
3 1 1300.9562937630553
3 2 52.0363753702172
=========================
0 1 292.81095571633796
0 2 -742.8586529658186
0 3 -341.54035022594474
1 0 -292.81095571633796
1 2 -1035.6696086821562
1 3 -634.3513059422828
2 0 742.8586529658186
2 1 1035.6696086821562
2 3 401.3183027398736
3 0 341.54035022594474
3 1 634.3513059422828
3 2 -401.3183027398736
=========================
0 1 92.08756380650347
0 2 1247.964248678491
0 3 733.6808360544048
1 0 -92.08756380650347
1 2 1155.8766848719872
1 3 641.5932722479013
2 0 -1247.964248678491
2 1 -1155.8766848719872
2 3 -514.2834126240859
3 0 -733.6808360544048
3 1 -641.5932722479013
3 2 514.2834126240859
=========================
0 1 92.08756380650347
0 2 1247.964248678491
0 3 733.6808360544048
1 0 -92.08756380650347
1 2 1155.8766848719872
1 3 641.5932722479013
2 0 -1247.964248678491
2 1 -1155.8766848719872
2 3 -514.2834126240859
3 0 -733.6808360544048
3 1 -641.5932722479013
3 2 514.2834126240859
=========================
0 1 62.15396858313163
0 2 1206.4616606015034
0 3 433.49975486786116
1 0 -62.15396858313163
1 2 1144.3076920183719
1 3 371.34578628472957
2 0 -1206.4616606015034
2 1 -1144.3076920183719
2 3 -772.9619057336419
3 0 -433.49975486786116
3 1 -371.34578628472957
3 2 772.9619057336419
=========================
0 1 62.15396858313163
0 2 1206.4616606015034
0 3 433.49975486786116
1 0 -62.15396858313163
1 2 1144.3076920183719
1 3 371.34578628472957
2 0 -1206.4616606015034
2 1 -1144.3076920183719
2 3 -772.9619057336419
3 0 -433.49975486786116
3 1 -371.34578628472957
3 2 772.9619057336419
=========================
0 1 62.15396858313163
0 2 1206.4616606015034
0 3 433.49975486786116
1 0 -62.15396858313163
1 2 1144.3076920183719
1 3 371.34578628472957
2 0 -1206.4616606015034
2 1 -1144.3076920183719
2 3 -772.9619057336419
3 0 -433.49975486786116
3 1 -371.34578628472957
3 2 772.9619057336419
=========================
0 1 -432.10095649732307
0 2 704.3119583567358
0 3 753.9224362904724
1 0 432.10095649732307
1 2 1136.412914854059
1 3 1186.0233927877953
2 0 -704.3119583567358
2 1 -1136.412914854059
2 3 49.61047793373669
3 0 -753.9224362904724
3 1 -1186.0233927877953
3 2 -49.61047793373669
=========================
0 1 -1133.6618965219066
0 2 -1749.5040352234337
0 3 -1276.2905437287354
1 0 1133.6618965219066
1 2 -615.842138701527
1 3 -142.6286472068287
2 0 1749.5040352234337
2 1 615.842138701527
2 3 473.21349149469825
3 0 1276.2905437287354
3 1 142.6286472068287
3 2 -473.21349149469825
=========================
0 1 -1322.327090767664
0 2 -1980.7639536814686
0 3 -1945.1416174956748
1 0 1322.327090767664
1 2 -658.4368629138044
1 3 -622.8145267280106
2 0 1980.7639536814686
2 1 658.4368629138044
2 3 35.62233618579371
3 0 1945.1416174956748
3 1 622.8145267280106
3 2 -35.62233618579371
=========================
0 1 -1322.327090767664
0 2 -1980.7639536814686
0 3 -1945.1416174956748
1 0 1322.327090767664
1 2 -658.4368629138044
1 3 -622.8145267280106
2 0 1980.7639536814686
2 1 658.4368629138044
2 3 35.62233618579371
3 0 1945.1416174956748
3 1 622.8145267280106
3 2 -35.62233618579371
=========================
0 1 -1322.327090767664
0 2 -1980.7639536814686
0 3 -1945.1416174956748
1 0 1322.327090767664
1 2 -658.4368629138044
1 3 -622.8145267280106
2 0 1980.7639536814686
2 1 658.4368629138044
2 3 35.62233618579371
3 0 1945.1416174956748
3 1 622.8145267280106
3 2 -35.62233618579371
=========================
0 1 -1510.9922850134217
0 2 -2212.0238721395035
0 3 -2613.992691262614
1 0 1510.9922850134217
1 2 -701.0315871260818
1 3 -1103.0004062491926
2 0 2212.0238721395035
2 1 701.0315871260818
2 3 -401.9688191231107
3 0 2613.992691262614
3 1 1103.0004062491926
3 2 401.9688191231107
=========================
0 1 530.14293111084
0 2 84.95637790771741
0 3 573.9333922036021
1 0 -530.14293111084
1 2 -445.18655320312234
1 3 43.790461092762044
2 0 -84.95637790771741
2 1 445.18655320312234
2 3 488.9770142958845
3 0 -573.9333922036021
3 1 -43.790461092762044
3 2 -488.9770142958845
